% The multi-feature digit dataset
% -------------------------------
% 
% Oowned and donated by:
% ----------------------
% 
% Robert P.W. Duin
% Department of Applied Physics 
% Delft University of Technology 
% P.O. Box 5046, 2600 GA Delft
% The Netherlands
% 
% email: duin@ph.tn.tudelft.nl
% http : //www.ph.tn.tudelft.nl/~duin
% tel +31 15 2786143
% 
% Usage
% -----
% A slightly different version of the database is used in
% 
% M. van Breukelen, R.P.W. Duin, D.M.J. Tax, and J.E. den Hartog, Handwritten
%      digit recognition by combined classifiers, Kybernetika, vol. 34, no. 4,
%      1998, 381-386.
% 
% M. van Breukelen and R.P.W. Duin, Neural Network Initialization by Combined
%      Classifiers, in: A.K. Jain, S. Venkatesh, B.C. Lovell (eds.), ICPR'98,
%      Proc. 14th Int. Conference on Pattern Recognition (Brisbane, Aug. 16-20),
% 
% The database as it is is used in:
% 
% A.K. Jain, R.P.W. Duin, J. Mao, Statisitcal Pattern Recognition: A Review,
%      in preparation
% 
% Description
% -----------
% 
% This dataset consists of features of handwritten numerals (`0'--`9')
% extracted from a collection of Dutch utility maps. 200 patterns per
% class (for a total of 2,000 patterns) have been digitized in  binary
% images. These digits are represented in terms of the following six
% feature sets (files): 
% 
% 1. mfeat-fou: 76 Fourier coefficients of the character shapes; 
% 2. mfeat-fac: 216 profile correlations; 
% 3. mfeat-kar: 64 Karhunen-Love coefficients; 
% 4. mfeat-pix: 240 pixel averages in 2 x 3 windows; 
% 5. mfeat-zer: 47 Zernike moments; 
% 6. mfeat-mor: 6 morphological features. 
% 
% In each file the 2000 patterns are stored in ASCI on 2000 lines. The
% first 200 patterns are of class `0', followed by sets of 200 patterns
% for each of the classes `1' - `9'. Corresponding patterns in different
% feature sets (files) correspond to the same original character.
% 
% The source image dataset is lost. Using the pixel-dataset (mfeat-pix)
% sampled versions of the original images may be obtained (15 x 16 pixels).
% 
% Total number of instances:
% --------------------------
% 2000 (200 instances per class)
% 
% Total number of attributes:
% ---------------------------
% 649 (distributed over 6 datasets,see above)
% 
% no missing attributes
% 
% Total number of classes:
% ------------------------
% 10
% 
% Format:
% ------
% 6 files, see above.
% Each file contains 2000 lines, one for each instance.
% Attributes are SPACE separated and can be loaded by Matlab as
% > load filename
% No missing attributes. Some are integer, others are real.
% 
%
% Information about the dataset
% CLASSTYPE: nominal
% CLASSINDEX: last
%

@relation mfeat

@attribute att1 {0,1,2,3,5,6}
@attribute att2 {0,1,2,3,4,5,6}
@attribute att3 {0,1,2,3,4,5,6}
@attribute att4 {0,1,2,3,4,5,6}
@attribute att5 {0,1,2,3,4,5,6}
@attribute att6 {0,1,2,3,4,5,6}
@attribute att7 {0,1,2,3,4,5,6}
@attribute att8 {0,1,2,3,4,5,6}
@attribute att9 {0,1,2,3,4,5,6}
@attribute att10 {0,1,2,3,4,5,6}
@attribute att11 {0,1,2,3,4,5,6}
@attribute att12 {0,1,2,3,4,5,6}
@attribute att13 {0,1,2,3,4,5,6}
@attribute att14 {0,1,2,3,4,5,6}
@attribute att15 {0,1,2,3,5,6}
@attribute att16 {0,1,2,3,4,5,6}
@attribute att17 {0,1,2,3,4,5,6}
@attribute att18 {0,1,2,3,4,5,6}
@attribute att19 {0,1,2,3,4,5,6}
@attribute att20 {0,1,2,3,4,5,6}
@attribute att21 {0,1,2,3,4,5,6}
@attribute att22 {0,1,2,3,4,5,6}
@attribute att23 {0,1,2,3,4,5,6}
@attribute att24 {0,1,2,3,4,5,6}
@attribute att25 {0,1,2,3,4,5,6}
@attribute att26 {0,1,2,3,4,5,6}
@attribute att27 {0,1,2,3,4,5,6}
@attribute att28 {0,1,2,3,4,5,6}
@attribute att29 {0,1,2,3,4,5,6}
@attribute att30 {0,1,2,3,4,5,6}
@attribute att31 {0,1,2,3,4,5,6}
@attribute att32 {0,1,2,3,4,5,6}
@attribute att33 {0,1,2,3,4,5,6}
@attribute att34 {0,1,2,3,4,5,6}
@attribute att35 {0,1,2,3,4,5,6}
@attribute att36 {0,1,2,3,4,5,6}
@attribute att37 {0,1,2,3,4,5,6}
@attribute att38 {0,1,2,3,4,5,6}
@attribute att39 {0,1,2,3,4,5,6}
@attribute att40 {0,1,2,3,4,5,6}
@attribute att41 {0,1,2,3,4,5,6}
@attribute att42 {0,1,2,3,4,5,6}
@attribute att43 {0,1,2,3,4,5,6}
@attribute att44 {0,1,2,3,4,5,6}
@attribute att45 {0,1,2,3,4,5,6}
@attribute att46 {0,1,2,3,4,5,6}
@attribute att47 {0,1,2,3,4,5,6}
@attribute att48 {0,1,2,3,4,5,6}
@attribute att49 {0,1,2,3,4,5,6}
@attribute att50 {0,1,2,3,4,5,6}
@attribute att51 {0,1,2,3,4,5,6}
@attribute att52 {0,1,2,3,4,5,6}
@attribute att53 {0,1,2,3,4,5,6}
@attribute att54 {0,1,2,3,4,5,6}
@attribute att55 {0,1,2,3,4,5,6}
@attribute att56 {0,1,2,3,4,5,6}
@attribute att57 {0,1,2,3,4,5,6}
@attribute att58 {0,1,2,3,4,5,6}
@attribute att59 {0,1,2,3,4,5,6}
@attribute att60 {0,1,2,3,4,5,6}
@attribute att61 {0,1,2,3,4,5,6}
@attribute att62 {0,1,2,3,4,5,6}
@attribute att63 {0,1,2,3,4,5,6}
@attribute att64 {0,1,2,3,4,5,6}
@attribute att65 {0,1,2,3,4,5,6}
@attribute att66 {0,1,2,3,4,5,6}
@attribute att67 {0,1,2,3,4,5,6}
@attribute att68 {0,1,2,3,4,5,6}
@attribute att69 {0,1,2,3,4,5,6}
@attribute att70 {0,1,2,3,4,5,6}
@attribute att71 {0,1,2,3,4,5,6}
@attribute att72 {0,1,2,3,4,5,6}
@attribute att73 {0,1,2,3,4,5,6}
@attribute att74 {0,1,2,3,4,5,6}
@attribute att75 {0,1,2,3,4,5,6}
@attribute att76 {0,1,2,3,4,5,6}
@attribute att77 {0,1,2,3,4,5,6}
@attribute att78 {0,1,2,3,4,5,6}
@attribute att79 {0,1,2,3,4,5,6}
@attribute att80 {0,1,2,3,4,5,6}
@attribute att81 {0,1,2,3,4,5,6}
@attribute att82 {0,1,2,3,4,5,6}
@attribute att83 {0,1,2,3,4,5,6}
@attribute att84 {0,1,2,3,4,5,6}
@attribute att85 {0,1,2,3,4,5,6}
@attribute att86 {0,1,2,3,4,5,6}
@attribute att87 {0,1,2,3,4,5,6}
@attribute att88 {0,1,2,3,4,5,6}
@attribute att89 {0,1,2,3,4,5,6}
@attribute att90 {0,1,2,3,4,5,6}
@attribute att91 {0,1,2,3,4,5,6}
@attribute att92 {0,1,2,3,4,5,6}
@attribute att93 {0,1,2,3,4,5,6}
@attribute att94 {0,1,2,3,4,5,6}
@attribute att95 {0,1,2,3,4,5,6}
@attribute att96 {0,1,2,3,4,5,6}
@attribute att97 {0,1,2,3,4,5,6}
@attribute att98 {0,1,2,3,4,5,6}
@attribute att99 {0,1,2,3,4,5,6}
@attribute att100 {0,1,2,3,4,5,6}
@attribute att101 {0,1,2,3,4,5,6}
@attribute att102 {0,1,2,3,4,5,6}
@attribute att103 {0,1,2,3,4,5,6}
@attribute att104 {0,1,2,3,4,5,6}
@attribute att105 {0,1,2,3,4,5,6}
@attribute att106 {0,1,2,3,4,5,6}
@attribute att107 {0,1,2,3,4,5,6}
@attribute att108 {0,1,2,3,4,5,6}
@attribute att109 {0,1,2,3,4,5,6}
@attribute att110 {0,1,2,3,4,5,6}
@attribute att111 {0,1,2,3,4,5,6}
@attribute att112 {0,1,2,3,4,5,6}
@attribute att113 {0,1,2,3,4,5,6}
@attribute att114 {0,1,2,3,4,5,6}
@attribute att115 {0,1,2,3,4,5,6}
@attribute att116 {0,1,2,3,4,5,6}
@attribute att117 {0,1,2,3,4,5,6}
@attribute att118 {0,1,2,3,4,5,6}
@attribute att119 {0,1,2,3,4,5,6}
@attribute att120 {0,1,2,3,4,5,6}
@attribute att121 {0,1,2,3,4,5,6}
@attribute att122 {0,1,2,3,4,5,6}
@attribute att123 {0,1,2,3,4,5,6}
@attribute att124 {0,1,2,3,4,5,6}
@attribute att125 {0,1,2,3,4,5,6}
@attribute att126 {0,1,2,3,4,5,6}
@attribute att127 {0,1,2,3,4,5,6}
@attribute att128 {0,1,2,3,4,5,6}
@attribute att129 {0,1,2,3,4,5,6}
@attribute att130 {0,1,2,3,4,5,6}
@attribute att131 {0,1,2,3,4,5,6}
@attribute att132 {0,1,2,3,4,5,6}
@attribute att133 {0,1,2,3,4,5,6}
@attribute att134 {0,1,2,3,4,5,6}
@attribute att135 {0,1,2,3,4,5,6}
@attribute att136 {0,1,2,3,4,5,6}
@attribute att137 {0,1,2,3,4,5,6}
@attribute att138 {0,1,2,3,4,5,6}
@attribute att139 {0,1,2,3,4,5,6}
@attribute att140 {0,1,2,3,4,5,6}
@attribute att141 {0,1,2,3,4,5,6}
@attribute att142 {0,1,2,3,4,5,6}
@attribute att143 {0,1,2,3,4,5,6}
@attribute att144 {0,1,2,3,4,5,6}
@attribute att145 {0,1,2,3,4,5,6}
@attribute att146 {0,1,2,3,4,5,6}
@attribute att147 {0,1,2,3,4,5,6}
@attribute att148 {0,1,2,3,4,5,6}
@attribute att149 {0,1,2,3,4,5,6}
@attribute att150 {0,1,2,3,4,5,6}
@attribute att151 {0,1,2,3,4,5,6}
@attribute att152 {0,1,2,3,4,5,6}
@attribute att153 {0,1,2,3,4,5,6}
@attribute att154 {0,1,2,3,4,5,6}
@attribute att155 {0,1,2,3,4,5,6}
@attribute att156 {0,1,2,3,4,5,6}
@attribute att157 {0,1,2,3,4,5,6}
@attribute att158 {0,1,2,3,4,5,6}
@attribute att159 {0,1,2,3,4,5,6}
@attribute att160 {0,1,2,3,4,5,6}
@attribute att161 {0,1,2,3,4,5,6}
@attribute att162 {0,1,2,3,4,5,6}
@attribute att163 {0,1,2,3,4,5,6}
@attribute att164 {0,1,2,3,4,5,6}
@attribute att165 {0,1,2,3,4,5,6}
@attribute att166 {0,1,2,3,4,5,6}
@attribute att167 {0,1,2,3,4,5,6}
@attribute att168 {0,1,2,3,4,5,6}
@attribute att169 {0,1,2,3,4,5,6}
@attribute att170 {0,1,2,3,4,5,6}
@attribute att171 {0,1,2,3,4,5,6}
@attribute att172 {0,1,2,3,4,5,6}
@attribute att173 {0,1,2,3,4,5,6}
@attribute att174 {0,1,2,3,4,5,6}
@attribute att175 {0,1,2,3,4,5,6}
@attribute att176 {0,1,2,3,4,5,6}
@attribute att177 {0,1,2,3,4,5,6}
@attribute att178 {0,1,2,3,4,5,6}
@attribute att179 {0,1,2,3,4,5,6}
@attribute att180 {0,1,2,3,4,5,6}
@attribute att181 {0,1,2,3,4,5,6}
@attribute att182 {0,1,2,3,4,5,6}
@attribute att183 {0,1,2,3,4,5,6}
@attribute att184 {0,1,2,3,4,5,6}
@attribute att185 {0,1,2,3,4,5,6}
@attribute att186 {0,1,2,3,4,5,6}
@attribute att187 {0,1,2,3,4,5,6}
@attribute att188 {0,1,2,3,4,5,6}
@attribute att189 {0,1,2,3,4,5,6}
@attribute att190 {0,1,2,3,4,5,6}
@attribute att191 {0,1,2,3,4,5,6}
@attribute att192 {0,1,2,3,4,5,6}
@attribute att193 {0,1,2,3,4,5,6}
@attribute att194 {0,1,2,3,4,5,6}
@attribute att195 {0,1,2,3,4,5,6}
@attribute att196 {0,1,2,3,4,5,6}
@attribute att197 {0,1,2,3,4,5,6}
@attribute att198 {0,1,2,3,4,5,6}
@attribute att199 {0,1,2,3,4,5,6}
@attribute att200 {0,1,2,3,4,5,6}
@attribute att201 {0,1,2,3,4,5,6}
@attribute att202 {0,1,2,3,4,5,6}
@attribute att203 {0,1,2,3,4,5,6}
@attribute att204 {0,1,2,3,4,5,6}
@attribute att205 {0,1,2,3,4,5,6}
@attribute att206 {0,1,2,3,4,5,6}
@attribute att207 {0,1,2,3,4,5,6}
@attribute att208 {0,1,2,3,4,5,6}
@attribute att209 {0,1,2,3,4,5,6}
@attribute att210 {0,1,2,3,4,5,6}
@attribute att211 {0,1,2,3,4,5,6}
@attribute att212 {0,1,2,3,4,5,6}
@attribute att213 {0,1,2,3,4,5,6}
@attribute att214 {0,1,2,3,4,5,6}
@attribute att215 {0,1,2,3,4,5,6}
@attribute att216 {0,1,2,3,4,5,6}
@attribute att217 {0,1,2,3,4,5,6}
@attribute att218 {0,1,2,3,4,5,6}
@attribute att219 {0,1,2,3,4,5,6}
@attribute att220 {0,1,2,3,4,5,6}
@attribute att221 {0,1,2,3,4,5,6}
@attribute att222 {0,1,2,3,4,5,6}
@attribute att223 {0,1,2,3,4,5,6}
@attribute att224 {0,1,2,3,4,5,6}
@attribute att225 {0,1,2,3,4,5,6}
@attribute att226 {0,1,2,3,4}
@attribute att227 {0,1,2,3,4}
@attribute att228 {0,1,2,3,4}
@attribute att229 {0,1,2,3,4}
@attribute att230 {0,1,2,3,4}
@attribute att231 {0,1,2,3,4}
@attribute att232 {0,1,2,3,4}
@attribute att233 {0,1,2,3,4}
@attribute att234 {0,1,2,3,4}
@attribute att235 {0,1,2,3,4}
@attribute att236 {0,1,2,3,4}
@attribute att237 {0,1,2,3,4}
@attribute att238 {0,1,2,3,4}
@attribute att239 {0,1,2,3,4}
@attribute att240 {0,1,2,3,4}
@attribute class {1,2,3,4,5,6,7,8,9,10}

@data
0,1,3,4,4,4,4,2,2,2,1,0,0,0,0,2,6,6,6,6,6,6,6,6,6,6,5,3,1,0,3,6,6,6,6,5,1,1,5,6,6,6,6,3,0,3,6,6,6,6,0,0,0,3,6,6,6,6,3,0,3,6,6,6,6,0,0,0,4,6,6,6,6,3,0,3,6,6,6,6,3,0,3,6,6,6,6,5,1,0,0,5,6,6,6,6,6,6,6,6,6,6,0,0,0,0,0,4,6,6,6,6,6,6,6,6,6,5,1,0,0,1,5,6,6,6,6,3,2,5,6,6,6,6,1,0,3,6,6,6,6,3,0,0,0,4,6,6,6,3,0,3,6,6,6,6,3,0,0,0,6,6,6,6,3,0,3,6,6,6,4,0,0,0,0,6,6,6,6,3,0,3,6,6,6,6,3,0,1,5,6,6,6,6,3,0,3,6,6,6,6,6,5,6,6,6,6,6,5,0,0,1,3,5,6,6,6,6,6,6,6,6,6,3,0,0,0,0,0,1,3,4,4,4,4,4,4,3,1,0,9
0,0,3,4,4,4,4,4,4,3,2,2,1,0,0,0,2,6,6,6,6,6,6,6,6,6,6,6,2,0,0,3,6,6,5,2,2,2,2,5,6,6,6,3,0,0,4,6,6,0,0,0,0,0,0,6,6,6,3,0,0,6,6,6,1,0,0,0,0,0,4,6,6,4,0,0,3,6,6,5,0,0,0,0,0,0,6,6,6,2,0,3,6,6,6,0,0,0,0,0,0,6,6,6,3,0,5,6,6,6,5,1,0,0,0,0,3,6,6,3,3,6,6,6,6,6,6,3,2,0,0,0,0,2,0,3,6,6,6,6,4,6,6,6,5,2,1,0,0,0,0,5,6,6,1,0,1,3,6,6,6,6,4,0,0,0,3,6,6,0,0,0,0,0,3,6,6,6,3,0,0,4,6,6,4,0,0,0,0,0,1,6,6,6,2,2,6,6,6,6,1,0,0,0,1,5,6,6,4,0,1,5,6,6,6,6,4,4,4,6,6,6,4,0,0,0,0,1,2,2,3,4,4,4,4,4,3,1,0,0,9
0,0,0,1,3,4,4,6,6,4,3,0,0,0,0,0,1,5,6,6,6,6,6,6,6,6,1,0,0,0,1,5,6,6,3,1,1,5,6,6,6,6,1,0,0,5,6,6,6,0,0,0,0,4,6,6,6,6,2,0,6,6,6,6,3,1,0,0,0,6,6,6,6,6,0,5,6,6,6,6,6,1,0,0,2,6,6,6,6,3,0,4,6,6,6,6,6,6,3,3,6,6,6,5,1,0,4,6,6,6,6,6,6,6,6,6,6,6,1,0,0,6,6,6,4,2,3,4,6,6,6,6,6,0,0,0,6,6,6,3,0,0,0,1,5,6,6,6,3,0,2,6,6,6,5,0,0,0,0,0,5,6,6,6,5,3,6,6,6,3,0,0,0,0,0,0,4,6,6,6,0,6,6,6,6,1,0,0,0,0,0,4,6,6,6,0,2,6,6,6,6,4,4,4,4,5,6,6,6,5,0,0,5,6,6,6,6,6,6,6,6,6,6,3,0,0,0,0,3,4,4,4,4,4,4,4,3,0,0,0,9
0,1,5,6,4,4,6,6,6,4,4,3,0,0,0,0,3,6,6,6,6,6,6,6,6,6,6,5,0,0,1,6,6,6,1,0,1,2,2,5,6,6,6,2,0,1,6,6,6,2,0,0,0,0,0,4,6,6,6,2,0,6,6,6,6,0,0,0,0,0,0,6,6,6,3,0,4,6,6,6,0,0,0,0,0,0,6,6,6,0,0,0,6,6,6,2,0,0,0,0,0,6,6,6,0,0,0,6,6,6,6,2,0,0,0,0,4,6,6,0,0,0,4,6,6,6,6,3,2,2,2,5,6,3,0,0,0,0,6,6,6,6,6,6,6,6,6,6,2,0,0,0,4,6,6,6,3,3,6,6,6,6,6,0,0,0,0,6,6,6,1,0,0,1,5,6,6,6,4,0,0,1,6,6,2,0,0,0,0,1,5,6,6,6,4,0,3,6,6,1,0,0,0,0,0,3,6,6,6,6,0,3,6,6,6,3,2,3,4,4,6,6,4,2,1,0,4,4,4,4,4,4,4,4,4,4,4,4,0,0,9
0,0,0,1,4,4,6,6,6,4,4,2,0,0,0,0,0,2,6,6,6,6,6,4,5,6,6,6,5,0,0,0,6,6,6,6,3,0,0,0,1,5,6,6,4,0,1,6,6,6,6,0,0,0,0,0,3,6,6,6,0,2,6,6,6,6,0,0,0,0,3,6,6,6,5,0,0,6,6,6,6,3,2,2,3,6,6,6,5,0,0,0,6,6,6,6,6,6,6,6,6,6,6,3,0,0,2,6,6,6,6,6,6,6,6,6,6,6,6,2,0,6,6,6,6,1,0,1,2,2,2,5,6,6,6,2,6,6,6,6,0,0,0,0,0,0,3,6,6,6,3,6,6,5,1,0,0,0,0,0,0,3,6,6,4,3,6,6,4,0,0,0,0,0,0,1,5,6,6,3,0,6,6,6,0,0,0,0,0,0,3,6,6,6,1,3,6,6,6,5,0,0,0,2,4,6,6,6,6,0,0,3,6,6,6,5,4,6,6,6,6,6,6,2,0,0,0,0,2,4,4,4,4,4,4,4,4,3,0,0,9
0,0,0,3,6,6,6,5,5,6,6,3,0,0,0,0,0,5,6,5,2,2,2,3,6,6,6,3,0,0,0,3,6,6,3,0,0,0,0,2,6,6,3,0,0,0,6,6,6,0,0,0,0,0,0,6,6,3,0,0,3,6,6,6,3,0,0,0,0,2,6,6,5,0,0,0,5,6,6,6,5,1,0,3,6,6,6,4,0,0,0,0,6,6,6,6,6,6,6,6,6,6,3,0,0,0,5,6,6,6,3,2,2,3,6,6,6,6,1,0,3,6,6,6,2,0,0,0,0,2,6,6,6,5,0,6,6,6,3,0,0,0,0,0,0,4,6,6,6,3,6,6,4,0,0,0,0,0,0,0,0,6,6,6,3,6,6,6,1,0,0,0,0,0,0,0,6,6,6,3,6,6,6,6,3,0,0,0,0,0,1,6,6,6,2,1,6,6,6,6,5,4,3,3,4,6,6,6,5,0,0,1,5,6,6,6,6,6,6,6,6,6,3,0,0,0,0,0,0,1,3,4,4,4,3,1,0,0,0,0,9
0,1,2,3,4,4,4,4,4,2,2,0,0,0,0,0,5,6,6,6,6,6,6,6,6,6,5,1,0,0,3,6,6,6,6,5,1,0,1,5,6,6,6,1,0,3,6,6,6,6,0,0,0,0,3,6,6,6,5,0,1,5,6,6,6,5,1,0,0,1,6,6,6,6,0,0,0,4,6,6,6,6,5,4,6,6,6,6,3,0,0,1,6,6,6,6,6,6,6,6,6,6,6,2,0,0,5,6,6,6,6,6,6,6,6,6,6,4,0,0,1,6,6,6,5,1,0,3,6,6,6,6,3,0,0,3,6,6,6,3,0,0,0,3,6,6,6,6,2,0,3,6,6,6,5,0,0,0,0,3,6,6,6,6,2,3,6,6,6,4,0,0,0,0,1,6,6,6,6,3,2,6,6,6,6,0,0,0,0,1,6,6,6,6,3,0,4,6,6,6,5,1,0,1,5,6,6,6,5,1,0,1,6,6,6,6,6,6,6,6,6,4,2,0,0,0,0,1,3,4,2,2,2,2,2,0,0,0,0,0,9
1,4,5,5,4,4,4,4,3,2,2,0,0,0,0,4,6,6,6,6,6,6,6,6,6,6,5,1,0,0,5,6,6,6,6,5,4,4,6,6,6,6,6,2,0,3,6,6,6,6,0,0,0,0,1,6,6,6,5,0,0,5,6,6,6,3,1,0,0,0,5,6,6,6,3,0,0,4,6,6,6,6,1,0,0,3,6,6,6,5,0,0,0,6,6,6,6,6,6,4,6,6,6,6,3,0,0,3,6,6,6,6,6,6,6,6,6,6,6,3,0,2,6,6,6,5,4,5,6,6,6,6,6,6,2,0,4,6,6,6,0,0,0,4,6,6,6,6,2,0,2,6,6,6,6,0,0,0,0,6,6,6,6,0,0,0,5,6,6,6,0,0,0,0,6,6,6,3,0,0,0,3,6,6,6,1,0,0,0,6,6,6,3,0,0,0,3,6,6,6,6,4,4,5,6,6,6,4,0,0,0,0,3,6,6,6,6,6,6,6,6,6,5,0,0,0,0,0,1,4,4,4,4,4,4,4,4,1,0,0,9
0,0,1,3,6,6,6,6,6,5,3,0,0,0,0,0,3,6,6,6,6,6,6,6,6,6,4,0,0,0,2,6,6,6,6,6,6,6,6,6,6,6,4,0,0,0,6,6,6,6,6,1,0,4,6,6,6,6,1,0,0,5,6,6,6,6,0,0,2,6,6,6,6,5,0,0,0,3,6,6,6,5,2,2,6,6,6,6,6,0,0,0,0,2,6,6,6,6,6,6,6,6,6,5,0,0,0,0,0,6,6,6,6,6,6,6,6,6,3,0,0,0,0,0,6,6,6,6,6,6,6,6,6,3,0,0,0,0,2,6,6,6,6,6,6,6,6,6,5,0,0,0,0,6,6,6,6,4,0,4,6,6,6,6,0,0,0,1,6,6,6,6,3,0,1,6,6,6,6,2,0,0,3,6,6,6,6,5,2,3,6,6,6,6,6,0,0,0,5,6,6,6,6,6,6,6,6,6,6,5,0,0,0,1,5,6,6,6,6,6,6,6,6,3,0,0,0,0,0,0,0,2,4,4,4,3,1,0,0,0,9
0,0,0,0,0,0,3,6,6,6,6,6,5,2,0,0,0,0,0,1,5,6,6,6,6,6,6,6,6,5,0,0,0,0,5,6,6,5,1,1,6,6,6,6,4,0,0,0,0,6,6,6,3,0,0,6,6,6,6,3,0,0,0,4,6,6,6,4,0,0,6,6,6,5,0,0,0,4,6,6,6,6,6,5,5,6,6,6,2,0,0,2,6,6,6,6,6,6,6,6,6,6,1,0,0,0,3,6,6,6,6,6,6,6,6,6,6,0,0,0,0,5,6,6,5,2,2,5,6,6,6,6,0,0,0,4,6,6,5,0,0,0,0,6,6,6,6,3,0,0,5,6,6,1,0,0,0,0,6,6,6,5,0,0,0,3,6,6,2,0,0,0,2,6,6,6,1,0,0,0,3,6,6,3,0,0,0,5,6,6,5,0,0,0,0,4,6,6,6,3,2,5,6,6,5,1,0,0,0,0,5,6,6,6,6,6,6,6,5,1,0,0,0,0,0,0,2,4,4,4,4,4,2,0,0,0,0,0,0,0,9
0,3,6,6,6,4,6,6,6,6,6,3,0,0,0,5,6,6,6,6,6,6,6,6,6,6,6,4,0,0,6,6,6,6,6,4,3,1,1,6,6,6,6,2,0,5,6,6,6,3,0,0,0,0,6,6,6,6,1,0,0,3,6,6,6,3,0,0,0,6,6,6,6,0,0,0,0,1,6,6,6,5,3,3,6,6,6,6,0,0,0,0,0,4,6,6,6,6,6,6,6,6,2,0,0,0,0,0,0,6,6,6,6,6,6,6,6,0,0,0,0,0,0,2,6,6,6,6,6,6,6,3,0,0,0,0,0,0,6,6,6,6,6,6,6,6,4,0,0,0,0,0,0,5,6,6,6,1,3,6,6,6,1,0,0,0,0,0,3,6,6,5,0,0,5,6,6,6,3,0,0,0,0,5,6,6,4,0,0,1,6,6,6,6,0,0,0,0,2,6,6,6,5,4,5,6,6,6,6,4,0,0,0,0,5,6,6,6,6,6,6,6,6,6,5,0,0,0,0,0,3,4,4,4,4,4,4,4,3,0,9
0,0,0,1,5,6,6,6,6,6,6,3,0,0,0,1,3,5,6,6,6,6,6,6,6,6,6,5,0,0,6,6,6,6,2,2,2,2,3,6,6,6,6,0,0,6,6,6,6,5,1,0,0,0,3,6,6,6,4,0,3,6,6,6,6,6,3,0,0,1,5,6,6,6,0,0,0,1,5,6,6,6,5,2,0,1,6,6,6,0,0,0,0,1,6,6,6,6,6,6,6,6,6,6,0,0,1,5,6,6,6,4,2,5,6,6,6,6,6,0,1,6,6,6,1,0,0,0,1,4,5,6,6,6,0,3,6,6,6,0,0,0,0,0,0,0,4,6,6,0,6,6,6,6,0,0,0,0,0,0,0,0,6,6,4,6,6,6,6,0,0,0,0,0,0,1,5,6,6,5,6,6,6,6,3,0,0,0,2,4,6,6,6,6,1,6,6,6,6,6,6,4,6,6,6,6,6,5,1,0,1,5,6,6,6,6,6,6,6,6,6,5,0,0,0,0,0,1,3,4,4,4,4,2,0,0,0,0,0,0,9
0,0,0,0,0,0,3,4,4,4,5,5,1,0,0,0,0,0,0,1,5,6,6,6,6,6,6,5,1,0,0,0,0,1,6,6,6,6,6,6,6,6,6,5,1,0,0,1,6,6,6,1,0,0,1,6,6,6,6,3,0,0,3,6,6,6,2,0,0,0,3,6,6,6,3,0,0,0,5,6,6,6,1,0,0,2,6,6,6,3,0,0,0,4,6,6,6,6,3,0,0,4,6,6,3,0,0,4,6,6,6,6,6,6,6,4,6,6,6,3,0,4,6,6,4,0,1,3,6,6,6,6,6,6,2,0,6,6,6,2,0,0,0,3,6,6,6,6,4,0,3,6,6,4,0,0,0,0,0,1,6,6,6,5,0,4,6,6,6,1,0,0,0,0,0,3,6,6,6,5,3,6,6,6,5,2,0,0,0,0,0,6,6,6,5,1,5,6,6,6,6,5,3,2,2,5,6,6,4,0,0,0,3,6,6,6,6,6,6,6,6,6,3,0,0,0,0,0,1,4,4,4,4,4,4,3,0,0,0,0,9
0,0,3,5,6,6,6,6,6,6,5,1,0,0,0,0,5,6,6,6,6,6,6,6,6,6,3,0,0,0,2,6,6,6,6,3,2,5,6,6,6,4,0,0,0,1,6,6,6,3,0,0,0,6,6,6,6,5,0,0,4,6,6,6,5,0,0,0,6,6,6,6,6,0,0,5,6,6,6,6,3,0,0,1,6,6,6,6,0,0,1,6,6,6,6,6,3,2,5,6,6,6,5,0,0,0,6,6,6,6,6,6,6,6,6,6,6,0,0,0,1,6,6,6,6,6,6,6,6,6,6,6,5,0,0,5,6,6,6,1,0,1,5,6,6,6,6,6,0,0,4,6,6,3,0,0,0,0,3,6,6,6,6,0,0,3,6,6,6,1,0,0,0,0,3,6,6,6,4,0,2,6,6,6,3,0,0,0,0,3,6,6,6,6,3,0,5,6,6,6,1,0,0,0,4,6,6,6,6,1,0,1,6,6,6,6,4,6,6,6,6,6,6,6,0,0,0,3,4,4,4,4,4,4,4,4,4,4,3,0,9
0,1,2,2,3,4,4,4,2,3,4,3,1,0,0,0,3,6,6,6,6,4,6,6,6,6,6,3,0,0,0,6,6,6,6,1,0,1,3,6,6,6,3,0,0,0,4,6,6,6,0,0,0,0,1,6,6,6,1,0,0,3,6,6,6,0,0,0,0,0,6,6,6,1,0,0,3,6,6,6,3,0,0,0,0,6,6,6,0,0,0,0,6,6,6,6,5,1,0,3,6,6,5,0,0,1,5,6,6,6,6,6,6,6,6,6,6,3,0,0,3,6,6,6,6,6,6,6,6,6,6,4,0,0,0,3,6,6,5,1,1,2,3,6,6,6,6,3,0,0,3,6,6,3,0,0,0,0,1,5,6,6,6,5,0,3,6,6,3,0,0,0,0,0,0,4,6,6,6,3,3,6,6,3,0,0,0,0,0,0,0,6,6,6,3,1,6,6,6,3,0,0,0,0,0,3,6,6,6,2,0,6,6,6,6,6,6,4,4,5,6,6,4,3,0,0,1,2,2,2,3,4,4,4,4,3,0,0,0,0,9
